system:index,coordinates,dem_0,.geo
99,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,,91,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
