system:index,dem_0,ir_0,ir_1,ir_2,.geo
48,76,2519.0,2516.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41140382364256,26.328408251909615]}"
49,73,2824.0,2432.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4725790944911,26.352393269995606]}"
50,72,3025.0,2639.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43619732548426,26.3553577104332]}"
51,72,2588.0,2602.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40170201857407,26.372066374717825]}"
52,76,2903.0,2563.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.405753197872308]}"
53,77,2547.0,2571.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41760219910297,26.450758793606695]}"
54,77,2707.0,3102.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42110562871105,26.489296519295422]}"
55,78,2862.0,2861.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39280869726129,26.511395075284764]}"
56,77,3127.0,3288.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47554353492869,26.51489850489283]}"
57,79,2589.0,1842.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48659281292336,26.517323956159952]}"
58,76,2577.0,2498.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46045183815548,26.5259477828875]}"
59,76,2779.0,2937.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47581302951393,26.526217277472735]}"
60,76,2597.0,2778.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47284858907634,26.528103739569385]}"
61,73,2252.0,2205.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55315797547661,26.528103739569385]}"
62,76,2769.0,2579.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55800887801087,26.528103739569385]}"
63,76,2553.0,2245.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5523494917209,26.53753605005264]}"
64,79,2553.0,2605.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26318180176284,26.555592187263443]}"
65,78,2828.0,2875.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35615743366921,26.56098207896816]}"
66,82,2903.0,2770.0,3051.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17936898575448,26.577151754082312]}"
67,81,2817.0,2655.0,3049.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31492476212811,26.579307710764198]}"
68,76,2792.0,2486.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29417367906495,26.602753739679716]}"
69,83,2619.0,2569.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24593414830774,26.604101212605897]}"
70,75,3271.0,3107.0,3053.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32732151304897,26.61622846894151]}"
71,74,2664.0,2070.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33783180187316,26.631589660299955]}"
72,75,2507.0,2280.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30064154911062,26.637518541175144]}"
73,81,2569.0,1879.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18341140453302,26.641560959953683]}"
74,81,2689.0,2363.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23784931075066,26.648298324584577]}"
75,75,1728.0,1368.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27854299312128,26.6507237758517]}"
76,82,2581.0,2691.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29498216282066,26.65719164589736]}"
77,78,2472.0,2514.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.65853911882354]}"
78,75,3030.0,2882.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2621038234219,26.66312052677255]}"
79,76,2087.0,1523.0,3003.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.672552837255804]}"
80,70,1898.0,1402.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38822728931227,26.672552837255804]}"
81,81,2523.0,2270.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17882999658401,26.67416980476722]}"
82,70,2605.0,3168.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3876883001418,26.68252413690953]}"
83,77,2721.0,2414.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.685758071932362]}"
84,77,2720.0,2580.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26911068263803,26.68845301778472]}"
85,81,2338.0,2020.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28177692814411,26.698424317438448]}"
86,83,2655.0,2580.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35588793908397,26.702466736216984]}"
87,81,2406.0,1864.0,3016.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.7040837037284]}"
88,76,2344.0,2314.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30252801120727,26.707048144165995]}"
89,77,2641.0,2266.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.707587133336467]}"
90,78,2675.0,2527.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1712841481974,26.71001258460359]}"
91,83,2457.0,2044.0,3019.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34726411235643,26.726451754302975]}"
92,79,2271.0,1974.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25078505084198,26.730494173081514]}"
93,78,2767.0,3531.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34753360694165,26.731302656837222]}"
94,74,2398.0,2480.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3898442568237,26.731302656837222]}"
95,77,2809.0,2751.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31735021339524,26.736153559371466]}"
96,78,2214.0,2314.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38661032180086,26.73669254854194]}"
97,76,2543.0,2408.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20982187388613,26.742082440246655]}"
98,70,930.0,437.0,2996.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.743699407758072]}"
99,78,2126.0,2196.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38229840843708,26.743699407758072]}"
100,78,985.0,404.0,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.745855364439958]}"
101,79,2703.0,2306.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33001645890133,26.746663848195666]}"
102,81,2384.0,2668.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26129533966618,26.748011321121844]}"
103,78,2784.0,2827.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31196032169052,26.74962828863326]}"
104,80,935.0,390.0,3000.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32866898597514,26.75151475072991]}"
105,75,2363.0,1904.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34699461777119,26.75151475072991]}"
106,79,2546.0,2450.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33244191016846,26.751784245315147]}"
107,81,2419.0,2825.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24296970787015,26.75340121282656]}"
108,76,2116.0,1852.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25105454542722,26.753940201997032]}"
109,76,2492.0,2518.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28204642272934,26.753940201997032]}"
110,78,1424.0,1119.0,3004.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29174822779784,26.759599588286985]}"
111,80,2339.0,2011.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3372928127027,26.764450490821233]}"
112,76,2625.0,2653.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33082494265703,26.78466258471392]}"
113,80,2593.0,2481.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18637584497061,26.78654904681057]}"
114,79,2275.0,2388.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20631844427807,26.789243992662932]}"
115,76,2776.0,1366.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31357728920194,26.789243992662932]}"
116,79,1734.0,1361.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.14244822757718,26.79247792768576]}"
117,78,2437.0,2063.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27234461766085,26.80164074358378]}"
