system:index,dem_0,.geo
62,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33730769968025,26.76444552849538]}"
63,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29176311477539,26.759594625961135]}"
64,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40710679725635,26.755821701767836]}"
65,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4639701547411,26.748814842551702]}"
66,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55586780830652,26.74638939128458]}"
67,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41573062398385,26.743424950846986]}"
68,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43917665289939,26.741268994165097]}"
69,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42516293446715,26.73992152123892]}"
70,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40279488389257,26.738843542897975]}"
71,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49334506453181,26.736418091630853]}"
72,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42758838573423,26.730758705340904]}"
73,101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4610057143035,26.72779426490331]}"
74,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43028333158662,26.72563830822142]}"
75,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53080481187959,26.72348235153953]}"
76,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41626961315433,26.722673867783826]}"
77,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39713549760262,26.72159588944288]}"
78,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41788658066577,26.71728397607911]}"
79,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56152719459647,26.712972062715338]}"
80,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47825336775861,26.70084480637972]}"
81,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45184289840546,26.695724409260237]}"
82,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58281726683009,26.69437693633406]}"
83,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44429705001886,26.693837947163587]}"
84,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51274867466879,26.690065022970288]}"
85,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44860896338264,26.68844805545887]}"
86,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44052412582556,26.687909066288398]}"
87,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.54832195991992,26.685483615021276]}"
88,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5744629346878,26.68440563668033]}"
89,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.59817845818856,26.669044445321887]}"
90,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40548982974491,26.662846069861466]}"
91,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56637809713072,26.662576575276226]}"
92,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40090842179592,26.658534156497694]}"
93,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39686600301735,26.653952748548683]}"
94,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41465264564295,26.64964083518491]}"
95,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43163080451279,26.64937134059967]}"
96,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40926275393821,26.635357622167405]}"
97,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58416473975626,26.634818632996932]}"
98,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4601972305478,26.634010149241227]}"
99,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41222719437582,26.62862025753651]}"
100,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4647786384968,26.62808126836604]}"
101,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43540372870609,26.62619480626939]}"
102,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5043943425265,26.623499860417027]}"
103,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48903315116803,26.623230365831795]}"
