system:index,ir_0,ir_1,ir_2,.geo
49,2581.0,2598.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23623234323925,26.85769561731284]}"
50,2523.0,2580.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38310689219279,26.86200753067661]}"
51,2428.0,2445.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24458667538156,26.869553379063216]}"
52,2582.0,2475.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24216122411444,26.874943270767933]}"
53,2237.0,2215.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.878716194961235]}"
54,2927.0,2676.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24377819162585,26.882219624569302]}"
55,2791.0,2949.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38445436511897,26.883028108325007]}"
56,2810.0,2682.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2389272890916,26.88760951627402]}"
57,2541.0,2330.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23704082699496,26.891651935052558]}"
58,2171.0,1173.5,2966.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.8927299133935]}"
59,2325.0,2347.0,3021.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2696496718085,26.912403018115718]}"
60,2487.0,1920.5,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32678252387849,26.912942007286187]}"
61,2487.5,2029.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27450057434274,26.962529010969586]}"
62,2824.0,2303.0,3008.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30468396788916,27.004031177095907]}"
63,2473.0,1877.0,3009.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31573324588382,27.032328108545673]}"
64,2447.0,1441.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37097963585718,26.357783161700326]}"
65,2717.0,2915.0,3057.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3200451592476,26.39712937114476]}"
66,3035.0,1723.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3771780113176,26.39766836031523]}"
67,2616.0,2657.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13247692792345,26.416263486696504]}"
68,2500.0,1910.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35723541201014,26.424348324253582]}"
69,2634.0,2786.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.43297215098113]}"
70,2572.0,2127.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13948378713958,26.449950309850987]}"
71,2704.0,2982.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16131284854367,26.45372323404429]}"
72,2805.0,2518.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32435707261138,26.46019110408995]}"
73,2430.0,2263.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21575075476132,26.461808071601364]}"
74,2421.0,2420.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11549876905359,26.463694533698018]}"
75,2462.0,2541.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22814750568217,26.466928468720845]}"
76,2532.0,2325.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13867530338386,26.469623414573206]}"
77,2422.0,2460.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18880129623774,26.473935327936978]}"
78,2544.0,2371.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34968956362354,26.484984605931647]}"
79,2506.0,2496.0,3052.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25698342630241,26.491182981392072]}"
80,2558.0,2513.0,3054.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32489606178184,26.491182981392072]}"
81,2376.0,1941.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36532024956722,26.49792034602297]}"
82,2421.0,2509.0,3061.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2418917295292,26.507352656506225]}"
83,2616.0,1222.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30171952745157,26.513820526551886]}"
84,2639.0,2642.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22329660314793,26.524330815376082]}"
85,2670.0,2513.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44266519552991,26.54076998507547]}"
86,2475.0,2498.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4741960620025,26.54589038219495]}"
